name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Nitrosopumilus sp.	2024843	species	2359279	13	9	0.0
Sus scrofa papillomavirus 2	2025338	species	8218	1	1	0.0
Novosphingobium sp. 9	2025349	species	4386972	2	2	0.0
Methanobacterium sp. BAmetb5	2025351	species	2417388	7	4	0.0
Murmansk poxvirus	2025359	leaf	204055	2	1	0.0
Staphylococcus sp. M0911	2025492	species	2438350	11	1	0.0
Vibrio qinghaiensis	2025808	species	4017713	2	1	0.0
Proteus phage PM2	2025809	leaf	163469	3	1	0.0
Parabacteroides sp. CT06	2025876	species	5372666	9	0	0.0
Herbaspirillum sp. meg3	2025949	species	5465798	2	2	0.0
Escherichia phage vB_EcoS-95	2026130	leaf	50910	1	0	0.0
Bacillus paranthracis	2026186	species	82647240	83	20	0.0
Bacillus pacificus	2026187	species	21277266	34	10	0.0
Bacillus tropicus	2026188	species	44959183	44	10	0.0
Bacillus albus	2026189	species	17607582	26	4	0.0
Bacillus luti	2026191	species	5315231	6	1	0.0
Bacillus nitratireducens	2026193	species	5511760	15	6	0.0
Bacillus paramycoides	2026194	species	5828503	18	4	0.0
Paraburkholderia aromaticivorans	2026199	species	19748448	1	1	0.0
Klebsiella quasivariicola	2026240	species	11823552	4	0	0.0
Parasphingopyxis algicola	2026624	species	3669801	1	1	0.0
Providencia huaxiensis	2027290	species	32790320	37	5	0.0
Escherichia coli O8:H8	2027293	leaf	4909393	3	3	0.0
Azoarcus sp. DD4	2027405	species	5400077	1	0	0.0
Buchnera aphidicola (Periphyllus acericola)	2027478	forma	459522	46	20	0.0
Mariniflexile sp. TRM1-10	2027857	species	4858325	18	11	0.0
Mucilaginibacter rubeus	2027860	species	53957286	67	5	0.0
Rhodococcus phage Trina	2027905	leaf	139262	1	1	0.0
Cupriavidus sp. P-10	2027911	species	9083096	5	1	0.0
Enterobacter cloacae complex sp.	2027919	species	5290194	2	1	0.0
Rhizobium sp. 11515TR	2028343	species	7070317	5	3	0.0
Pollutimonas thiosulfatoxidans	2028345	species	3548703	2	0	0.0
Vandammella animalimorsus	2029117	species	6863876	5	2	0.0
Candidatus Tisiphia endosymbiont of Sialis lutaria	2029164	species	3323292	8	3	0.0
Squirrelpox virus Berlin_2015	2029293	species	142974	2	1	0.0
Lactococcus phage 63302	2029670	leaf	31883	1	0	0.0
Chitinophaga caeni	2029983	species	5279921	6	4	0.0
Shewanella sp. WE21	2029986	species	5266746	3	1	0.0
Glaesserella sp. 15-184	2030797	species	2399550	7	4	0.0
Aeromonas sp. CA23	2033032	species	5099209	2	1	0.0
Aeromonas sp. CU5	2033033	species	4615599	5	5	0.0
Serratia sp. MYb239	2033438	species	4986519	4	1	0.0
Actinoplanes sp. SE50	2033844	species	9239482	4	0	0.0
Pectobacterium zantedeschiae	2034769	species	4944901	5	2	0.0
Eptesicus fuscus gammaherpesvirus	2035399	species	166748	1	0	0.0
Cherax quadricarinatus iridovirus	2035708	species	165695	1	0	0.0
uncultured Pseudodesulfovibrio sp.	2035858	species	7220914	2	2	0.0
Suicoccus acidiformans	2036206	species	2572159	2	1	0.0
Dickeya sp. Secpp 1600	2037915	species	5108113	3	0	0.0
Nostoc flagelliforme CCNUN1	2038116	strain	10231233	13	3	0.0
Jatrophihabitans telluris	2038343	species	4193897	1	1	0.0
Flavobacterium ardleyense	2038737	species	3185123	14	9	0.0
Kaistella flava (ex Peng et al. 2021)	2038776	species	3716699	20	15	0.0
Chryseobacterium sp. 6424	2039166	species	2586303	4	3	0.0
Halobacterium litoreum	2039234	species	2709004	2	0	0.0
Thiomicrorhabdus sp.	2039724	species	5408249	10	8	0.0
Allobranchiibius	2040262	genus	0	4	0	0.0
Arenibacter antarcticus	2040469	species	4694007	12	11	0.0
uncultured Gellertiella sp.	2040489	species	4165720	1	1	0.0
Gemella sp. ND 6198	2040624	species	1797925	19	0	0.0
Eubacterium maltosivorans	2041044	species	8490295	9	2	0.0
Salmonella phage LVR16A	2041204	leaf	111601	1	0	0.0
Rhizobium tumorigenes	2041385	species	11944806	6	5	0.0
Salmonella phage Melville	2041413	leaf	159323	1	0	0.0
Lactobacillus phage LJ	2041454	leaf	44260	1	0	0.0
Pectobacterium polaris	2042057	species	14840747	11	2	0.0
Campylobacter blaseri	2042961	species	1891678	20	5	0.0
Paremcibacter congregatus	2043170	species	4189011	5	5	0.0
Medicago sativa alphapartitivirus 1	2043550	species	3694	1	0	0.0
Escherichia sp. E4742	2044467	species	5120753	3	2	0.0
Natrarchaeobaculum sulfurireducens	2044521	species	7642748	2	0	0.0
Staphylococcus debuckii	2044912	species	2691850	10	5	0.0
Candidatus Nitrosocaldus islandicus	2045011	species	1617394	10	5	0.0
Kampung Karu virus	2045186	species	10311	1	1	0.0
Massilia violaceinigra	2045208	species	14872008	5	3	0.0
Stenotrophomonas lactitubi	2045214	species	4537952	2	0	0.0
Stenotrophomonas indicatrix	2045451	species	13939882	2	2	0.0
Franconibacter daqui	2047724	species	4720980	1	1	0.0
Nonomuraea glycinis	2047744	species	9637852	6	2	0.0
Arthrobacter phage Huntingdon	2047760	leaf	43891	1	1	0.0
Escherichia phage St11Ph5	2047765	leaf	72444	1	0	0.0
Thermosulfurimonas marina	2047767	species	1763258	1	1	0.0
Corynebacterium phage Darwin	2047869	leaf	67743	1	1	0.0
Dongshaea marina	2047966	species	5112152	5	5	0.0
Thalassospira marina	2048283	species	5438289	1	1	0.0
Solibacillus sp. R5-41	2048654	species	4283411	8	4	0.0
Escherichia coli O114:H49	2048775	leaf	5145656	1	0	0.0
Escherichia coli O25:H16	2048780	leaf	5078362	1	0	0.0
Rhizobium sp. NXC24	2048897	species	7302537	2	0	0.0
Changchengzhania lutea	2049305	species	4130958	21	17	0.0
Pseudomonas sp. HLS-6	2049589	species	5276694	2	2	0.0
Sulfurisphaera javensis	2049879	species	2569661	10	7	0.0
Streptomyces dengpaensis	2049881	species	8710171	6	3	0.0
Rodent coronavirus	2050018	species	31393	1	1	0.0
Proteus faecis	2050967	species	3882378	13	7	0.0
Methylobacterium currus	2051553	species	7740048	5	2	0.0
Enterobacter sp. CRENT-193	2051905	species	5196641	1	0	0.0
Rubrobacter indicoceani	2051957	species	3078689	1	1	0.0
Dietzia sp. JS16-p6b	2052657	species	3720309	3	0	0.0
Oceanobacillus zhaokaii	2052660	species	4103611	8	6	0.0
Acinetobacter pseudolwoffii	2053287	species	3366545	5	3	0.0
Lactobacillus phage Lenus	2053682	leaf	78891	1	1	0.0
Salmonella phage YSP2	2053686	leaf	50316	1	1	0.0
Bacillus sp. HBCD-sjtu	2053832	species	5230501	5	1	0.0
Xanthomonas prunicola	2053930	species	36929322	11	1	0.0
Tomelloso virus	2053981	leaf	112307	2	2	0.0
Candidatus Coxiella mudrowiae	2054173	species	1733840	5	4	0.0
Klebsiella phage Menlow	2054273	leaf	157281	1	0	0.0
Thalassotalea atypica	2054316	species	4386062	6	4	0.0
Bacillus stercoris	2054641	species	17366095	13	1	0.0
Rhodococcus sp. AQ5-07	2054902	species	6753902	30	29	0.0
Pseudomonas sp. S06B 330	2054916	species	5637435	1	0	0.0
Kyrpidia spormannii	2055160	species	16598177	10	0	0.0
Anelloviridae sp.	2055263	species	50562	1	0	0.0
Nocardia tengchongensis	2055889	species	8006012	4	3	0.0
Idiomarina sp. X4	2055892	species	2616716	2	2	0.0
Tsuneonella flava	2055955	species	3284110	2	2	0.0
Pseudomonas qingdaonensis	2056231	species	11993732	9	0	0.0
Streptomyces sp. AMCC400023	2056258	species	10694683	6	3	0.0
Yado-kari virus 3	2056549	leaf	5681	1	0	0.0
Cacao swollen shoot CE virus	2056879	leaf	7131	1	1	0.0
Cacao swollen shoot Ghana L virus	2056882	species	6994	1	0	0.0
Spirosoma pollinicola	2057025	species	8794837	8	6	0.0
Drosophila innubila nudivirus	2057187	leaf	155555	2	2	0.0
Bradyrhizobium sp. SK17	2057741	species	8288568	1	0	0.0
Actinomyces wuliandei	2057743	species	3107761	2	1	0.0
Enterococcus sp. CR-Ec1	2057791	species	3889849	8	5	0.0
Actinomyces sp. 432	2057798	species	3141809	6	4	0.0
Lacinutrix sp. Bg11-31	2057808	species	3666763	24	17	0.0
Red clover nepovirus A	2058094	leaf	12008	1	1	0.0
Candidatus Nitrosocaldus cavascurensis	2058097	species	1577284	12	5	0.0
Alteromonas sp. MB-3u-76	2058133	species	4360928	5	1	0.0
Nonlabens sp. MB-3u-79	2058134	species	3184776	9	7	0.0
Olleya sp. Bg11-27	2058135	species	4314320	24	8	0.0
Planococcus sp. MB-3u-03	2058136	species	3614431	8	5	0.0
Polaribacter sp. ALD11	2058137	species	3567309	24	17	0.0
Klebsiella grimontii	2058152	species	130247625	6	1	0.0
Antarcticibacterium flavum	2058175	species	4353683	8	5	0.0
Undibacterium sp. KW1	2058624	species	6692966	6	4	0.0
Undibacterium sp. YM2	2058625	species	6660175	6	4	0.0
Shewanella sp. Pdp11	2059264	species	4973697	3	2	0.0
Flamingopox virus FGPVKD09	2059380	species	293123	4	4	0.0
Chromobacterium sp. ATCC 53434	2059672	species	5138981	2	2	0.0
Vibrio phage Vp_R1	2059867	leaf	112127	2	2	0.0
Gordonia sp. YC-JH1	2059875	species	4193324	3	0	0.0
Streptomyces sp. CMB-StM0423	2059884	species	8029398	5	2	0.0
Chimaeribacter arupi	2060066	species	5012635	6	1	0.0
Pandoravirus	2060084	genus	0	1	0	0.0
Salmonella phage BPS17W1	2060124	leaf	87609	1	1	0.0
Enterococcus sp. FDAARGOS_375	2060307	species	3549293	6	1	0.0
Altererythrobacter sp. B11	2060312	species	3842046	1	1	0.0
Tetraselmis virus 1	2060617	leaf	668031	1	0	0.0
Escherichia phage T2	2060721	leaf	163825	1	0	0.0
Labilibaculum sp.	2060723	species	4970069	22	19	0.0
Neorhizobium sp. SOG26	2060726	species	4561173	1	1	0.0
Oxynema aestuarii AP17	2064643	strain	6357750	11	11	0.0
Torque teno mini virus 10	2065036	leaf	8618	1	0	0.0
Torque teno midi virus 8	2065049	leaf	3223	1	0	0.0
Breoghania sp.	2065378	species	8961171	5	5	0.0
Candidatus Cytomitobacter primus	2066024	species	622378	5	3	0.0
Citrobacter freundii complex sp. CFNIH2	2066049	species	5340584	1	1	0.0
Geminicoccaceae	2066434	family	0	1	0	0.0
Pectobacterium peruviense	2066479	species	4946471	4	0	0.0
Candidatus Chromulinivorax destructor	2066483	species	1174272	4	2	0.0
Aquella oligotrophica	2067065	species	2820660	10	10	0.0
Pseudomonas sp. NC02	2067572	species	6890566	1	0	0.0
Clostridium fermenticellae	2068654	species	2819963	19	16	0.0
Novisyntrophococcus fermenticellae	2068655	species	3420321	4	2	0.0
Paenibacillus sp. lzh-N1	2069255	species	5641488	4	1	0.0
Pseudomonas sp. XWY-1	2069256	species	6297253	1	0	0.0
Achromobacter veterisilvae	2069367	species	6549044	2	1	0.0
Tamlana carrageenivorans	2069432	species	4116543	16	10	0.0
Klebsiella phage vB_Kpn_F48	2070028	leaf	170764	1	1	0.0
Vibrio phage Aphrodite1	2070057	leaf	237722	1	1	0.0
Faecalibacterium phage FP_Lugh	2070184	leaf	34075	1	1	0.0
Lactobacillus phage Satyr	2070201	leaf	81076	1	0	0.0
Curtobacterium sp. SGAir0471	2070337	species	3531991	1	0	0.0
Curtobacterium sp. SGAir0571	2070355	species	3532011	1	0	0.0
Lysinibacillus sp. SGAir0095	2070463	species	4142194	11	7	0.0
Commensalibacter melissae	2070537	species	3984490	21	3	0.0
Paucibacter aquatile	2070761	species	5538945	10	5	0.0
Sphingomonas rhizophila	2071607	species	2557483	1	1	0.0
Marinomonas sp. FW-1	2071621	species	3964876	1	1	0.0
Plantactinospora sp. BB1	2071627	species	8386853	18	7	0.0
Enterobacter sichuanensis	2071710	species	14657363	7	2	0.0
Lysinibacillus sp. YS11	2072025	species	4584915	4	1	0.0
Esparto virus	2072209	leaf	183261	5	2	0.0
Actinoalloteichus sp. AHMU CJ021	2072503	species	6822750	4	2	0.0
Streptomyces sp. Go-475	2072505	species	8570609	2	0	0.0
Pseudoduganella armeniaca	2072590	species	6337491	1	0	0.0
Paenibacillus sp. PK3_47	2072642	species	6806831	4	3	0.0
Pseudomonas sp. DTU12.3	2073078	species	6268469	1	1	0.0
Vibrio gangliei	2077090	species	3667293	6	6	0.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	species	4849791	4	0	0.0
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	species	4971441	1	0	0.0
Citrobacter freundii complex sp. CFNIH3	2077147	species	5634842	2	0	0.0
Citrobacter freundii complex sp. CFNIH9	2077149	species	5688355	3	1	0.0
Sphingorhabdus sp. YGSMI21	2077182	species	4060755	3	3	0.0
Arthrobacter sp. PGP41	2079227	species	4270237	3	1	0.0
Corynebacterium gerontici	2079234	species	2263210	2	0	0.0
Klebsiella phage vB_KpnM_KpS110	2079262	leaf	156801	1	0	0.0
Lactobacillus phage Maenad	2079431	leaf	78646	1	0	0.0
Lactobacillus phage Semele	2079433	leaf	139450	1	1	0.0
Corynebacterium liangguodongii	2079535	species	2357924	1	1	0.0
Actinomyces sp. Z16	2079536	species	3761642	3	2	0.0
Aurantimicrobium sp. MWH-Uga1	2079575	species	1609479	1	1	0.0
Acinetobacter sp. SWBY1	2079596	species	2953039	5	0	0.0
Mycetocola zhujimingii	2079792	species	3193647	1	0	0.0
Aeromicrobium chenweiae	2079793	species	3717741	1	0	0.0
Deinococcus sp. NW-56	2080419	species	3567228	2	2	0.0
Acanthamoeba castellanii medusavirus	2080449	species	744088	5	2	0.0
Corynebacterium yudongzhengii	2080740	species	2511302	2	2	0.0
Agromyces badenianii	2080742	species	3052052	1	0	0.0
Bacillus sp. DU-106	2080759	species	5415320	1	0	0.0
Polynucleobacter sp. AP-Kolm-20A-A1	2081041	species	1921418	2	1	0.0
Polynucleobacter corsicus	2081042	species	2045022	8	2	0.0
Polynucleobacter sp. AP-Sving-400A-A2	2081049	species	2034533	2	0	0.0
Polynucleobacter sp. MG-5-Ahmo-C2	2081051	species	1821948	1	1	0.0
Polynucleobacter sp. MG-Unter2-18	2081052	species	2009228	1	1	0.0
Xanthomonas sp. MLO165	2081477	species	4791771	1	0	0.0
Actinomyces sp. oral taxon 897	2081702	species	3249416	5	1	0.0
Rhizobium ruizarguesonis	2081791	species	38985549	1	0	0.0
Polaromonas sp. Pch-P	2082385	species	4507340	4	3	0.0
Methylibium sp. Pch-M	2082386	species	3941137	2	0	0.0
Microvirga sp. 17 mud 1-3	2082949	species	4403107	10	9	0.0
Pseudomonas sp. SWI6	2083051	species	5652054	2	0	0.0
Pseudomonas sp. SWI36	2083052	species	6172256	3	1	0.0
Pseudomonas sp. SWI44	2083053	species	5919083	3	0	0.0
Pseudomonas sp. LH1G9	2083055	species	6548975	4	0	0.0
Oxyplax ochracea nucleopolyhedrovirus	2083176	leaf	113971	3	2	0.0
Streptomyces sp. CB09001	2083284	species	7787608	4	1	0.0
Devosia sp. I507	2083786	species	4005916	2	2	0.0
Adhaeribacter swui	2086471	species	6225914	31	19	0.0
Massilistercora timonensis	2086584	species	2769591	1	1	0.0
Pistachio ampelovirus A	2093224	species	17357	1	0	0.0
Candidatus Nanosynbacter lyticus	2093824	species	1529067	2	1	0.0
Bacillus sp. ZY-1-1	2093834	species	3899251	2	1	0.0
Butyricimonas faecalis	2093856	species	4976422	11	7	0.0
Dysosmobacter welbionis	2093857	species	3576111	3	1	0.0
Trichococcus shcherbakoviae	2094020	species	6052595	6	4	0.0
Streptomyces sp. WAC00288	2094021	species	7852859	4	1	0.0
Pukyongia salina	2094025	species	3182272	6	2	0.0
Mycobacterium basiliense	2094119	species	5607630	2	1	0.0
Mycobacterium phage Paola	2094139	leaf	61535	1	0	0.0
[Mycobacterium] chelonae subsp. chelonae	2099321	subspecies	5030282	3	0	0.0
Tolypothrix sp. PCC 7910	2099387	species	8761534	19	7	0.0
Klebsiella phage myPSH1235	2099390	leaf	45135	1	0	0.0
Salicibibacter kimchii	2099786	species	3641602	3	3	0.0
Lactobacillus sp. CBA3605	2099788	species	2552584	2	0	0.0
Lactobacillus sp. CBA3606	2099789	species	2559736	2	0	0.0
Vibrio echinoideorum	2100116	species	5738118	6	2	0.0
Paenibacillus sp. PL2-23	2100729	species	5484239	4	3	0.0
Saccharolobus	2100760	genus	0	2	0	0.0
Lacticaseibacillus chiayiensis	2100821	species	5720982	6	0	0.0
Microbacterium sp. str. 'China'	2103230	species	3478219	2	0	0.0
Pandoravirus macleodensis	2107707	species	1838258	46	19	0.0
Pandoravirus neocaledonia	2107708	species	2003191	21	9	0.0
Pandoravirus quercus	2107709	species	2077288	16	8	0.0
Aeromicrobium sp. A1-2	2107713	species	3446585	1	1	0.0
Lactobacillus paragasseri	2107999	species	5952805	16	0	0.0
Cylindrospermopsis raciborskii Cr2010	2108055	strain	3757845	10	0	0.0
Tepiditoga spiralis	2108365	species	2502404	29	15	0.0
Pectobacterium punjabense	2108399	species	4793778	5	3	0.0
Plantactinospora sp. BC1	2108470	species	8333965	11	6	0.0
Halobacteriovorax sp. BALOs_7	2109558	species	3153210	8	4	0.0
Moumouvirus australiensis	2109587	leaf	1098002	14	8	0.0
Streptomyces sp. SGAir0957	2109592	species	9887497	4	3	0.0
Streptomyces sp. SGAir0924	2109593	species	8079654	1	0	0.0
Oscillibacter sp. PEA192	2109687	species	3320462	1	0	0.0
Melaminivora suipulveris	2109913	species	3754020	1	0	0.0
Ottowia oryzae	2109914	species	3901011	2	1	0.0
Simplicispira suum	2109915	species	4154448	4	3	0.0
Mesoflavibacter sp. HG37	2109943	species	3046750	16	0	0.0
Mesoflavibacter sp. HG96	2109944	species	3046750	16	0	0.0
Lysinibacillus capsici	2115968	species	28958282	24	3	0.0
Candidatus Phycorickettsia trachydisci	2115978	species	1472411	5	4	0.0
fipivirus E1	2116189	leaf	8173	2	1	0.0
Hainan hebius popei torovirus	2116385	leaf	29409	1	1	0.0
Mycetocola sp. JXN-3	2116510	species	3468848	3	3	0.0
Pulveribacter suum	2116657	species	3358427	3	2	0.0
Cyanobium usitatum str. Tous	2116684	strain	2656680	2	1	0.0
Synechocystis sp. IPPAS B-1465	2116702	species	3950993	2	0	0.0
Pseudomonas sp. LBUM920	2126069	species	6533866	2	0	0.0
Variovorax sp. PMC12	2126319	species	7015237	6	1	0.0
Peterkaempfera bronchialis	2126346	species	7090212	4	4	0.0
Christiangramia fulva	2126553	species	4380140	14	12	0.0
Escherichia coli O18:H1	2126982	strain	5242835	1	0	0.0
Rhodopirellula sp. P2	2127060	species	7291416	4	3	0.0
Pseudoprevotella muciniphila	2133944	species	2920169	2	0	0.0
Bartonella kosoyi	2133959	species	2276164	6	2	0.0
Streptomyces sp. P3	2135430	species	9851971	3	2	0.0
Bacteroides sedimenti	2136147	species	3758787	5	4	0.0
Streptomyces sp. So13.3	2136173	species	9564008	3	1	0.0
Acinetobacter cumulans	2136182	species	3710871	5	2	0.0
Streptomyces sp. YIM 121038	2136401	species	11098444	9	7	0.0
Moorella sp. Hama-1	2138101	species	3324617	4	2	0.0
Coprothermobacterales	2138246	order	0	4	0	0.0
Megasphaera stantonii	2144175	species	5406634	5	3	0.0
Paraburkholderia bonniea	2152891	species	8022824	9	0	0.0
Klebsiella huaxiensis	2153354	species	12662036	9	3	0.0
Lelliottia sp. WB101	2153385	species	4734070	1	1	0.0
Streptomyces sp. endophyte_N2	2153485	species	8428700	5	0	0.0
Roseicyclus marinus	2161673	species	3552491	1	0	0.0
Kordiimonas pumila	2161677	species	4041658	3	2	0.0
Saccharospirillum mangrovi	2161747	species	3686911	3	2	0.0
Dialister massiliensis	2161821	species	2320245	2	0	0.0
Colwellia sp. Arc7-D	2161872	species	4305442	8	5	0.0
Bacteroides sp. PHL 2737	2162637	species	5539106	9	0	0.0
Flavobacterium magnum	2162713	species	3464207	1	1	0.0
Vibrio sp. dhg	2163016	species	5488599	5	2	0.0
Pseudomonas phage vB_PaeM_PA5oct	2163605	leaf	286783	2	1	0.0
Pectobacterium phage Nepra	2163635	leaf	74509	1	0	0.0
Aeromonas phage 50AhydR13PP	2163978	leaf	164983	1	0	0.0
Aeromonas phage 60AhydR15PP	2163979	leaf	165795	1	0	0.0
Algihabitans albus	2164067	species	4739774	6	3	0.0
Gemmobacter aquarius	2169400	species	4206589	1	1	0.0
Kuttervirus	2169536	genus	0	1	0	0.0
Lysinibacillus sp. 2017	2169540	species	3737915	9	6	0.0
Pseudomonas sp. SXM-1	2169583	species	7226716	3	0	0.0
Crohivirus A	2169853	species	7321	1	0	0.0
Methyloceanibacter sp. wino2	2170729	species	3209973	1	1	0.0
Miniimonas sp. S16	2171623	species	3772642	1	1	0.0
Profundibacter amoris	2171755	species	3558757	1	0	0.0
Flavobacterium pallidum	2172098	species	3552756	3	2	0.0
Saccharobesus litoralis	2172099	species	5871129	9	8	0.0
Limnobaculum parvum	2172103	species	3841771	5	3	0.0
Petrocella atlantisensis	2173034	species	3518882	17	12	0.0
Dokdonia sp. Dokd-P16	2173169	species	3623447	33	28	0.0
Altererythrobacter rubellus	2173831	species	2296411	1	1	0.0
Streptococcus chenjunshii	2173853	species	2443046	4	1	0.0
Buchnera aphidicola (Melanaphis sacchari)	2173854	forma	637486	17	14	0.0
Streptomyces tirandamycinicus	2174846	species	7289495	2	1	0.0
Flavobacterium album	2175091	species	3983546	3	3	0.0
Rhynchobatus djiddensis adomavirus 1	2175117	species	21527	3	1	0.0
Symphysodon discus adomavirus 1	2175118	species	19275	1	1	0.0
Halobaculum roseum	2175149	species	3719897	2	0	0.0
Curtobacterium sp. MCLR17_036	2175620	species	3635022	3	1	0.0
Curtobacterium sp. MCBD17_026	2175621	species	3656015	1	0	0.0
Curtobacterium sp. MCLR17_031	2175622	species	3789944	1	1	0.0
Curtobacterium sp. MCLR17_054	2175632	species	3945964	1	0	0.0
Curtobacterium sp. MCPF17_021	2175639	species	3845758	1	0	0.0
Curtobacterium sp. MCSS17_005	2175641	species	3758921	1	0	0.0
Curtobacterium sp. MCSS17_016	2175644	species	4369335	6	2	0.0
Curtobacterium sp. MCSS17_007	2175646	species	3309445	2	2	0.0
Curtobacterium sp. MCLR17_007	2175648	species	3795294	1	1	0.0
Curtobacterium sp. MCLR17_032	2175650	species	3710209	1	0	0.0
Curtobacterium sp. MCPF17_052	2175655	species	3562357	1	1	0.0
Curtobacterium sp. MCJR17_043	2175660	species	3307813	3	1	0.0
Curtobacterium sp. MCPF17_050	2175664	species	3273239	5	0	0.0
Curtobacterium sp. MCSS17_015	2175666	species	3318982	3	1	0.0
Curtobacterium sp. MCBD17_003	2175667	species	3451810	2	1	0.0
Curtobacterium sp. MCBD17_035	2175673	species	3461313	2	1	0.0
Curtobacterium sp. MCBD17_040	2175674	species	3986961	1	0	0.0
Streptomyces sp. NHF165	2175864	species	8457300	6	4	0.0
Acinetobacter phage AM101	2178927	leaf	166487	1	1	0.0
Erythrobacter aureus	2182384	species	3372129	1	1	0.0
Spiribacter halobius	2182432	species	4172350	3	2	0.0
Saliniradius amylolyticus	2183582	species	3214946	1	1	0.0
Flavobacterium crocinum	2183896	species	5877431	30	14	0.0
Salinisphaera sp. LB1	2183911	species	4141708	2	2	0.0
Streptomyces cadmiisoli	2184053	species	10239272	2	2	0.0
Pseudothauera hydrothermalis	2184083	species	3059321	3	1	0.0
Suncus murinus picornavirus	2184399	species	7407	1	0	0.0
Sphingobium sp. LF-16	2185111	species	4572548	3	1	0.0
Arracacha virus 1	2201042	species	15763	1	1	0.0
Flavobacterium sediminis	2201181	species	3441304	9	7	0.0
Pedobacter schmidteae	2201271	species	6198518	13	10	0.0
Phenylobacterium parvum	2201350	species	2828535	4	4	0.0
Pseudomonas sp. 31-12	2201356	species	6730253	2	1	0.0
Micromonospora sp. B006	2201999	species	7040153	2	1	0.0
Streptomyces sp. NEAU-S7GS2	2202000	species	9687439	3	2	0.0
Chromobacterium phragmitis	2202141	species	9608459	5	1	0.0
Azospirillum thermophilum	2202148	species	6776313	7	5	0.0
Thermomonas aquatica	2202149	species	3005997	1	1	0.0
Deinococcus irradiatisoli	2202254	species	3052043	1	1	0.0
Zhouia spongiae	2202721	species	4040482	10	9	0.0
Methylobacterium durans	2202825	species	6788375	4	3	0.0
Methylobacterium terrae	2202827	species	6162702	6	2	0.0
Methylobacterium radiodurans	2202828	species	5539695	1	0	0.0
Streptomyces sp. WAC 01438	2203204	species	8201167	5	4	0.0
Streptomyces sp. WAC 01529	2203205	species	8270461	2	1	0.0
Streptomyces sp. WAC 06738	2203210	species	8324535	4	1	0.0
Roseovarius sp. AK1035	2203213	strain	4203542	2	1	0.0
Oenococcus sicerae	2203724	species	1664394	4	3	0.0
Psychrobacter sp. YP14	2203895	species	2895311	4	0	0.0
Pectobacterium aquaticum	2204145	species	8835571	4	1	0.0
Thiomicrorhabdus aquaedulcis	2211106	species	2537035	5	3	0.0
Sulfuricystis multivorans	2211108	species	2811460	1	1	0.0
Acidisarcina polymorpha	2211140	species	7600726	3	3	0.0
Arthrobacter dokdonellae	2211210	species	4530754	1	1	0.0
Paraburkholderia dokdonensis	2211211	species	4404244	3	2	0.0
Paenibacillus sp. DCT19	2211212	species	6667063	6	5	0.0
Alstroemeria yellow spot virus	2212644	leaf	16396	1	1	0.0
Clostridium sp. AWRP	2212991	species	4579117	30	9	0.0
Pseudomonas sichuanensis	2213015	species	11867155	7	2	0.0
Paraliobacillus zengyii	2213194	species	3728451	8	5	0.0
Nocardia mangyaensis	2213200	species	7310115	2	1	0.0
Planococcus lenghuensis	2213202	species	4149733	4	3	0.0
Entomomonas moraniae	2213226	species	3337477	11	8	0.0
Bacillus sp. AR4-2	2217825	species	5438461	2	0	0.0
Bacillus sp. SH8-8	2217830	species	5439260	2	0	0.0
Bacillus sp. JAS24-2	2217832	species	6129653	9	4	0.0
Pseudomonas sp. SGAir0191	2217867	species	5071227	1	0	0.0
Burkholderia sp. JP2-270	2217913	species	8925310	1	0	0.0
Escherichia phage KIT03	2218499	leaf	166848	1	0	0.0
Photorhabdus laumondii	2218628	species	0	2	0	0.0
Capsulimonas corticalis	2219043	species	7645051	3	1	0.0
Pseudomonas sp. LG1E9	2219057	species	6243355	1	1	0.0
Botrytis cinerea hypovirus 1	2219105	leaf	10252	1	0	0.0
Nonomuraea phyllanthi	2219224	species	11273186	10	4	0.0
Pseudomonas asiatica	2219225	species	65561218	4	0	0.0
Sphingomonas sp. FARSPH	2219696	species	3761538	1	0	0.0
Synechococcus elongatus PCC 11801	2219813	strain	2804843	1	1	0.0
Bdellovibrio sp. NC01	2220073	species	3975853	7	7	0.0
Indioceanicola profundi	2220096	species	5374982	9	3	0.0
Bdellovibrio sp. ZAP7	2231053	species	4123562	5	3	0.0
Salmonella phage S116	2231345	leaf	110664	2	2	0.0
Planococcus halotolerans	2233542	species	3519247	3	3	0.0
Blastochloris tepida	2233851	species	3949390	2	2	0.0
Skermanella pratensis	2233999	species	5869433	2	2	0.0
Escherichia phage SF	2234080	leaf	168695	1	0	0.0
Thermodesulfobacterium sp. TA1	2234087	species	1829881	6	4	0.0
Francisella marina	2249302	species	4107585	12	7	0.0
Phascolarctid gammaherpesvirus 1	2249313	leaf	116729	2	1	0.0
Flavobacterium fluviale	2249356	species	4839571	27	15	0.0
Mycobacterium phage Steamy	2250309	leaf	53420	1	0	0.0
Gordonia phage Fryberger	2250392	leaf	67234	1	0	0.0
Gordonia phage Ronaldo	2250397	leaf	68389	1	0	0.0
Runella rosea	2259595	species	7162093	12	8	0.0
Xanthomonas euroxanthea	2259622	species	19529039	9	0	0.0
Dickeya lacustris	2259638	species	4367773	6	4	0.0
Candidatus Nitrosotenuis sp. DW1	2259672	species	1834835	3	1	0.0
